What proportion of the human genome encodes proteins?	About 1.5%. Only a small fraction of the genome is protein-coding; much disease-related regulation sits in noncoding DNA. [1][2]	pathology chapter-01 genome-and-epigenome coding-dna high-yield
What type of DNA element can increase transcription from a distance?	An enhancer. Enhancers are noncoding regulatory elements that can increase transcription from a distance. [2]	pathology chapter-01 genome-and-epigenome enhancer
What term describes large duplicated, deleted, or rearranged DNA segments?	Copy number variation (CNV). These are large contiguous genomic gains, losses, or rearrangements. [2][3]	pathology chapter-01 genome-and-epigenome cnv
What term describes coinheritance of nearby variants because of physical proximity?	Linkage disequilibrium. Nearby variants tend to be inherited together because they sit close together on the chromosome. [2][3]	pathology chapter-01 genome-and-epigenome linkage-disequilibrium
What does epigenetics refer to?	Heritable change in gene expression without an altered DNA sequence. This explains different phenotypes from the same genome. [3]	pathology chapter-01 genome-and-epigenome epigenetics high-yield
What is the usual effect of DNA methylation at regulatory regions?	Chromatin condensation and transcriptional silencing. DNA methylation typically represses transcription at regulatory regions. [4]	pathology chapter-01 genome-and-epigenome dna-methylation
What is the usual effect of histone acetylation?	Open chromatin with increased transcription. Histone acetylation generally makes DNA more transcriptionally accessible. [3][4]	pathology chapter-01 genome-and-epigenome histone-acetylation high-yield
What is the main action of microRNAs?	Post-transcriptional gene silencing. microRNAs act through RISC to cleave target mRNA or repress translation. [4][5]	pathology chapter-01 genome-and-epigenome mirna
What is XIST?	A long noncoding RNA that mediates X-chromosome inactivation. [4][5]	pathology chapter-01 genome-and-epigenome lncrna xist
Which DNA repair pathway enables precise CRISPR correction when donor DNA is supplied?	Homology-directed repair (HDR). This is the precise pathway used when donor DNA is available. [5][6]	pathology chapter-01 genome-and-epigenome crispr hdr
Which repair pathway is more error-prone after a double-strand DNA break: NHEJ or HDR?	Nonhomologous end joining (NHEJ). It commonly introduces insertions or deletions after double-strand breaks. [5][6]	pathology chapter-01 genome-and-epigenome nhej
